"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","333U7HK6IA2Q47MP2S08ZAZ1Y3BDJA","A2CW8CQCOPMCYA","Approved","Tue Aug 04 07:16:01 PDT 2015","Tue Aug 04 07:26:19 PDT 2015","Fri Aug 07 07:26:19 PDT 2015","Tue Aug 04 15:55:05 PDT 2015","","","618","100% (1/1)","100% (1/1)","100% (1/1)","5880316"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","336YQZE83W1L12DHQJVHHQ3QPOY5M4","ASDKBXZBSJNZD","Approved","Wed Aug 05 06:56:20 PDT 2015","Wed Aug 05 07:11:34 PDT 2015","Sat Aug 08 07:11:34 PDT 2015","Thu Aug 06 19:21:46 PDT 2015","","","914","100% (1/1)","100% (1/1)","100% (1/1)","4648404"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","37FMASSAYDE1UZ4Z6EO2SJW1I3RIBD","AG7WQ3TB100SO","Approved","Mon Aug 03 19:48:19 PDT 2015","Mon Aug 03 20:01:32 PDT 2015","Thu Aug 06 20:01:32 PDT 2015","Tue Aug 04 15:55:05 PDT 2015","","","793","100% (1/1)","100% (1/1)","100% (1/1)","178876"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","37UEWGM5HUVDA0PQU4PM0ZKJJN1R1P","AAEZQL4J6CQGM","Approved","Tue Aug 04 06:33:38 PDT 2015","Tue Aug 04 06:50:06 PDT 2015","Fri Aug 07 06:50:06 PDT 2015","Tue Aug 04 15:55:05 PDT 2015","","","988","100% (1/1)","100% (1/1)","100% (1/1)","1116107"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","39LOEL67OTS32YO9IZX5XB4BRFA380","A1PE0077HI218F","Approved","Mon Aug 03 19:50:03 PDT 2015","Mon Aug 03 20:00:12 PDT 2015","Thu Aug 06 20:00:12 PDT 2015","Tue Aug 04 15:55:05 PDT 2015","","","609","100% (2/2)","100% (2/2)","100% (2/2)","2303136"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","3C8HJ7UOP8HJ8GX6X72X6UALQFQMZW","A177EXELDLWTWV","Approved","Mon Aug 03 17:52:11 PDT 2015","Mon Aug 03 18:23:02 PDT 2015","Thu Aug 06 18:23:02 PDT 2015","Tue Aug 04 15:55:05 PDT 2015","","","1851","100% (1/1)","100% (1/1)","100% (1/1)","775746"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","3FE7TXL1LJAKNKSM0T000SKJF7C2QF","AYCHPTQRYDT7G","Approved","Tue Aug 04 06:00:59 PDT 2015","Tue Aug 04 06:18:22 PDT 2015","Fri Aug 07 06:18:22 PDT 2015","Tue Aug 04 15:55:06 PDT 2015","","","1043","100% (1/1)","100% (1/1)","100% (1/1)","9510998"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","3FE7TXL1LJAKNKSM0T000SKJF7RQ2I","A13LPRHZQRW0G7","Approved","Mon Aug 03 18:45:03 PDT 2015","Mon Aug 03 19:05:13 PDT 2015","Thu Aug 06 19:05:13 PDT 2015","Tue Aug 04 15:55:06 PDT 2015","","","1210","100% (1/1)","100% (1/1)","100% (1/1)","6467191"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","3IGI0VL6487DRU4Z7Z6G3BSHB33NO5","A1IZ4NX41GKU4X","Approved","Tue Aug 04 12:10:50 PDT 2015","Tue Aug 04 12:21:31 PDT 2015","Fri Aug 07 12:21:31 PDT 2015","Tue Aug 04 15:55:06 PDT 2015","","","641","100% (1/1)","100% (1/1)","100% (1/1)","5207767"
"36U4VBVNQOZQWDIU6QU4MHUX97AURH","3OA6GJL5SU0ZGIHSF9VPKL09ET1KF4","Answer questions about people during high school","Rate words about yourself and others during high school, and some basic demographics","survey, research, words, rating, study, women, female, girls, females, high school, personality, young","$1.50","Mon Aug 03 17:51:35 PDT 2015","94","BatchId:2044018;","2400","259200","Thu Aug 06 11:13:50 PDT 2015","","","3KIBXJ1WD6HCJOJWAME0BJBDH6WKOR","A3PYB8Z6FFWSOV","Approved","Mon Aug 03 19:03:51 PDT 2015","Mon Aug 03 19:14:00 PDT 2015","Thu Aug 06 19:14:00 PDT 2015","Tue Aug 04 15:55:06 PDT 2015","","","609","100% (1/1)","100% (1/1)","100% (1/1)","3666632"
